family,fold,diameter_in,pitch_in,points,atlas_c,atlas_weight,fixed_joint,fixed_ct,fixed_cp,plain_j_joint,plain_j_ct,plain_j_cp,safe_atlas_joint,safe_atlas_ct,safe_atlas_cp,raw_atlas_joint,raw_atlas_ct,raw_atlas_cp,direct_poly_joint,direct_poly_ct,direct_poly_cp,extra_trees_joint,extra_trees_ct,extra_trees_cp,hist_gb_joint,hist_gb_ct,hist_gb_cp,mlp_joint,mlp_ct,mlp_cp
ancf_14x6,1,14.0,6.0,94,-0.009956199505265939,0.4,0.04306646047987601,0.03127260799502072,0.05930813376869731,0.03833206740291095,0.03598136045674096,0.040836348952059495,0.04772461690413734,0.025425772399935712,0.08957993577620597,0.08701515802672259,0.04091880274216838,0.18504054906309964,0.0749528701192518,0.029231492603749524,0.1921876797489573,0.07638177160303757,0.02803098685421257,0.20813305873110283,0.07940331085786773,0.033907103072996055,0.18594586985558337,0.13696102799262352,0.06276320418602539,0.2988745305800187
ancf_15x10,1,15.0,10.0,114,-0.05862184096035561,0.30000000000000004,0.05821150553324051,0.0718453113434515,0.04716493412141571,0.0692345593600755,0.057126899045467174,0.08390835648139665,0.040249998949366095,0.05177662094624521,0.03128945817275195,0.028006488671047707,0.020184517654387897,0.03885965575754105,0.034577732005809984,0.01808369507866537,0.06611588756969111,0.0752122679568778,0.04567136441054028,0.12386065807816463,0.04804575109524882,0.03336162094207336,0.06919310672328326,0.09790158324545593,0.07570589483989684,0.12660467222845387
ancf_15x8,1,15.0,8.0,88,-0.05102213090681307,0.8,0.04319994616882462,0.06457803786339772,0.028898916887766128,0.04413697040259077,0.05361130182688271,0.03633696795145417,0.017841361298611254,0.011423591146163892,0.027864632838726474,0.02198741606116038,0.014982950204600942,0.03226644008321656,0.04983897744094863,0.019992278976282297,0.12424414821872845,0.08849851568814303,0.04678237887998094,0.1674131898913749,0.05596612036526433,0.021622123750776753,0.14486119239913856,0.10274516821657206,0.05697128622161035,0.18529631840833133
ancf_16x8,1,16.0,8.0,95,-0.03197914983061345,0.8,0.037695693385409616,0.06711773653967247,0.021171233910233234,0.042442728970155684,0.03845321798939737,0.04684615063766015,0.02532236140127839,0.016973970712264058,0.03777678174463074,0.032741661301631704,0.023234828826494885,0.04613833795789953,0.051653835724999514,0.025138113736304597,0.10613838305822941,0.11924779009822042,0.06855769365034374,0.2074170627126681,0.10954522194363413,0.06415575923307293,0.18704720814049472,0.12257150950107441,0.08381595619404127,0.17924719377525947
ancf_9x4,1,9.0,4.0,66,0.1106621267117942,0.4,0.04155605577495125,0.028363256679792913,0.06088531338508719,0.03226015382021941,0.04622052412566855,0.022516350564840415,0.03453405387104205,0.0242316052415434,0.0492167508045816,0.05407829558368186,0.041719479717386425,0.07009823883343654,0.061467671338979644,0.032709835841105525,0.11550882242853597,0.08568505100375591,0.05109271128193134,0.14369814756948876,0.10370085068340691,0.06457148690233766,0.16654202881725708,0.070348828667553,0.03384654916205603,0.14621749683258103
ancf_10x8,2,10.0,8.0,122,-0.06851038701105261,0.6000000000000001,0.024224553298072243,0.025654167192922923,0.02287460661178774,0.04242503121060802,0.046553866348245806,0.038662380042874485,0.025215926237039818,0.01565936361477851,0.04060464726623737,0.0309650038100408,0.015304424522728972,0.06265060535480163,0.033478094347595,0.014395765366941279,0.07785503393381642,0.040725446359167486,0.02764339132590313,0.05999849879487396,0.03747124712894152,0.027308320980430973,0.05141635629683628,0.08221626744551748,0.048329018989438664,0.1398645115091207
ancf_11x6,2,11.0,6.0,107,-0.13232684476413947,1.0,0.05176150529308787,0.07866170699106866,0.03406045371619725,0.054298384623710456,0.059238508711498994,0.04977023623439205,0.018899880031742394,0.010945333661048834,0.032635411242458716,0.018899880031742394,0.010945333661048834,0.032635411242458716,0.043881661347775984,0.020045706445804935,0.0960604809736639,0.06887722131877032,0.044574155275514206,0.10643099319037272,0.05065866050930815,0.030525696715371715,0.08407014943921115,0.09586134612218555,0.05624371789119048,0.16338531706128204
ancf_125x9,2,12.5,9.0,135,-0.14390112008759526,0.0,0.04201699582257761,0.083363175895873,0.021177551346648064,0.05900486198478952,0.032588072443340506,0.10683582908738538,0.04201699582257761,0.083363175895873,0.021177551346648064,0.030447285257317633,0.03676056726244956,0.025218250113551104,0.04181232182712584,0.022557227231195135,0.07750377467304151,0.06074401319770358,0.04578653220988549,0.0805877833780593,0.04593540967818299,0.029068880275771834,0.07258834335153906,0.09101303296452004,0.06301748308590194,0.1314456205448475
ancf_12x9,2,12.0,9.0,136,-0.16095657382667083,0.6000000000000001,0.015080772178347841,0.012201456838797102,0.018639552022351107,0.04180769468269034,0.019426971046503094,0.0899719946304073,0.01938866395234709,0.02085974492241497,0.018021327262400796,0.02513171915550853,0.030887800201566465,0.020448309804831064,0.03328324977189355,0.016006138156042553,0.06920936859213916,0.05911181717691869,0.043150027874593135,0.08097809206781208,0.08215233365994937,0.05123057552348061,0.13173785101598876,0.09913603927403723,0.06523526758410382,0.15065400429718287
ancf_13x10,2,13.0,10.0,183,-0.13415771069817795,0.6000000000000001,0.027662445118446097,0.031320429154645835,0.024431685343543154,0.037924138458399516,0.038386775194851085,0.037467077411722054,0.0354668305689944,0.04094691063957195,0.03072017036113339,0.04684749543301024,0.05558320021574517,0.039484733153673686,0.042860820390114955,0.0382015194742615,0.048088399356769486,0.061984621060196726,0.06280100691401846,0.0611788478684177,0.04929714639594552,0.06404492668263205,0.03794537317258445,0.07374131599634551,0.07590630351521409,0.07163807790723169
