family,fold,diameter_in,pitch_in,points,atlas_c,atlas_weight,fixed_joint,fixed_ct,fixed_cp,plain_j_joint,plain_j_ct,plain_j_cp,safe_atlas_joint,safe_atlas_ct,safe_atlas_cp,raw_atlas_joint,raw_atlas_ct,raw_atlas_cp,direct_poly_joint,direct_poly_ct,direct_poly_cp,extra_trees_joint,extra_trees_ct,extra_trees_cp,hist_gb_joint,hist_gb_ct,hist_gb_cp,mlp_joint,mlp_ct,mlp_cp
ancf_14x6,1,14.0,6.0,94,-0.047986379019386086,0.1,0.043066460479876,0.0312726079950207,0.059308133768697334,0.03833206740291065,0.035981360456740226,0.040836348952059676,0.03767068201241568,0.026449184098922496,0.05365308351187851,0.06265769654675961,0.05873826878484534,0.06683865591828148,0.07495287012064297,0.02923149260498864,0.19218767974794482,0.07638177160303757,0.028030986854212552,0.20813305873110294,0.07940331085786778,0.0339071030729961,0.18594586985558337,0.13696102799262425,0.06276320418602602,0.2988745305800189
ancf_15x10,1,15.0,10.0,114,-0.056710071041020375,0.0,0.058211505533241135,0.07184531134345155,0.04716493412141668,0.06923455936007542,0.05712689904546713,0.08390835648139652,0.058211505533241135,0.07184531134345155,0.04716493412141668,0.15396378279392708,0.1287995537464908,0.1840444762632682,0.03457773200596957,0.018083695078829603,0.06611588756970097,0.07521226795687777,0.04567136441054027,0.12386065807816458,0.048045751095248855,0.03336162094207337,0.06919310672328331,0.0979015832454557,0.07570589483989644,0.12660467222845395
ancf_15x8,1,15.0,8.0,88,-0.04599757811162253,0.0,0.04319994616882408,0.06457803786339575,0.028898916887766298,0.044136970402591305,0.05361130182688304,0.036336967951454836,0.04319994616882408,0.06457803786339575,0.028898916887766298,0.10062527141103421,0.07476573408481692,0.1354289551287978,0.04983897744021324,0.019992278975775903,0.12424414821820898,0.08849851568814306,0.046782378879980935,0.1674131898913751,0.05596612036526433,0.021622123750776753,0.14486119239913856,0.10274516821657213,0.056971286221610386,0.1852963184083314
ancf_16x8,1,16.0,8.0,95,-0.032491402077633055,0.0,0.037695693385408804,0.0671177365396697,0.021171233910233202,0.04244272897015613,0.03845321798939838,0.0468461506376599,0.037695693385408804,0.0671177365396697,0.021171233910233202,0.12793642721111337,0.10034339356346492,0.1631171602462527,0.05165383572411786,0.025138113735496317,0.10613838305801888,0.11924779009822038,0.0685576936503437,0.2074170627126681,0.10954522194363413,0.06415575923307297,0.18704720814049464,0.12257150950107436,0.0838159561940412,0.17924719377525947
ancf_9x4,1,9.0,4.0,66,-0.14513469944952861,1.0,0.041556055774951195,0.02836325667979282,0.06088531338508723,0.03226015382021945,0.046220524125669286,0.02251635056484011,0.07372965987551515,0.07079131482017152,0.07678996723211276,0.07372965987551515,0.07079131482017152,0.07678996723211276,0.06146767133530179,0.03270983583757583,0.11550882242717775,0.08568505100375585,0.05109271128193132,0.14369814756948862,0.10370085068340697,0.06457148690233766,0.16654202881725724,0.07034882866755236,0.03384654916205562,0.14621749683258015
ancf_10x8,2,10.0,8.0,122,0.28693263285727155,0.2,0.024224553298071945,0.025654167192922895,0.0228746066117872,0.04242503121060796,0.046553866348245834,0.03866238004287434,0.032599430065153596,0.02424529905928224,0.043832119289367144,0.1494155469021019,0.12523269979294563,0.17826818149704848,0.03347809434969733,0.014395765368943835,0.07785503393276434,0.040725446359167465,0.027643391325903138,0.05999849879487387,0.037471247128941516,0.02730832098043098,0.05141635629683625,0.0822162674455176,0.04832901898943896,0.1398645115091203
ancf_11x6,2,11.0,6.0,107,0.11377845572336098,1.0,0.05176150529308792,0.07866170699106864,0.03406045371619733,0.05429838462371057,0.059238508711499174,0.0497702362343921,0.06689287465504806,0.06670239650566934,0.06708389674178573,0.06689287465504806,0.06670239650566934,0.06708389674178573,0.04388166134712645,0.020045706445198652,0.09606048097372548,0.06887722131877026,0.04457415527551415,0.10643099319037266,0.05065866050930812,0.030525696715371683,0.08407014943921114,0.0958613461221855,0.056243717891190544,0.16338531706128168
ancf_125x9,2,12.5,9.0,135,0.06479722622435746,0.0,0.04201699582257686,0.08336317589586949,0.021177551346648203,0.05900486198478914,0.03258807244334041,0.1068358290873843,0.04201699582257686,0.08336317589586949,0.021177551346648203,0.12731062916834948,0.10612355122621596,0.15272760958301873,0.041812321826483805,0.02255722722988783,0.07750377467515307,0.06074401319770356,0.0457865322098855,0.08058778337805923,0.04593540967818296,0.029068880275771838,0.07258834335153895,0.09101303296451954,0.06301748308590148,0.131445620544847
ancf_12x9,2,12.0,9.0,136,0.10214728748800717,0.0,0.015080772178347352,0.01220145683879713,0.01863955202234986,0.0418076946826905,0.01942697104650319,0.08997199463040753,0.015080772178347352,0.01220145683879713,0.01863955202234986,0.1273351789736372,0.09927659565569716,0.16332397074211852,0.03328324977177238,0.01600613815552212,0.06920936859388559,0.05911181717691879,0.04315002787459323,0.08097809206781215,0.08215233365994934,0.051230575523480586,0.13173785101598873,0.09913603927403736,0.0652352675841045,0.1506540042971817
ancf_13x10,2,13.0,10.0,183,0.04549429951885553,0.0,0.027662445118445372,0.03132042915464418,0.024431685343543157,0.03792413845839924,0.03838677519485105,0.03746707741172153,0.027662445118445372,0.03132042915464418,0.024431685343543157,0.19712509923237934,0.1587659126445238,0.24475218956085984,0.04286082039040051,0.03820151947518297,0.0480883993562503,0.0619846210601967,0.06280100691401831,0.06117884786841779,0.04929714639594548,0.06404492668263205,0.03794537317258439,0.07374131599634474,0.0759063035152131,0.07163807790723113
ancf_13x5,2,13.0,5.0,114,-0.04766321030414011,0.9,0.04860292431025157,0.03578254807801723,0.0660166583541677,0.04240580576923926,0.02387034457501206,0.07533416022912763,0.11392478556966346,0.1045498292081683,0.12414039186282844,0.12335113491581358,0.11573543344551006,0.1314679699383761,0.07312865296664946,0.028605601439039455,0.1869493950726114,0.07887293744119445,0.029317995978162925,0.21218845466914413,0.08250041391617155,0.03411484739778506,0.19951190802575713,0.13593443689599016,0.06326731718941146,0.29206503381373783
