family,fold,diameter_in,pitch_in,points,probe_indices,atlas_tau,atlas_weight,fixed_joint,fixed_ct,fixed_cp,plain_j_joint,plain_j_ct,plain_j_cp,safe_atlas_joint,safe_atlas_ct,safe_atlas_cp,raw_atlas_joint,raw_atlas_ct,raw_atlas_cp,direct_poly_joint,direct_poly_ct,direct_poly_cp,extra_trees_joint,extra_trees_ct,extra_trees_cp,hist_gb_joint,hist_gb_ct,hist_gb_cp,mlp_joint,mlp_ct,mlp_cp
ancf_11x4,0,11.0,4.0,63,0;8;30;38;62,0.0,0.7000000000000001,0.03707121940376289,0.0466980207786776,0.029428984037572374,0.040778359822323,0.04610323649747445,0.0360685009584943,0.03889202095693023,0.04011341160121415,0.03770781974746116,0.050536697626917114,0.050371143530442954,0.05070279584760482,0.07275934095920428,0.029907973342601816,0.17700703542078258,0.09663245894711622,0.04280161302569677,0.2181654256011322,0.08825606518803453,0.039554762912338025,0.1969202308135942,0.11681285411176165,0.06646993817378084,0.20528442271243294
ancf_125x75,0,12.5,7.5,123,0;16;62;83;84,-0.1242044759853436,0.0,0.05384206179689474,0.06714616033223464,0.04317398946115068,0.07785639235212287,0.04851144098619851,0.12495233509580196,0.05384206179689474,0.06714616033223464,0.04317398946115068,0.09357447639694876,0.07058054750924797,0.1240594319818194,0.049732675208962164,0.022985245402523502,0.10760550692961396,0.06828308311982054,0.04030981470075597,0.11566859026669941,0.06974009587838065,0.042401347329537036,0.11470581194804758,0.07482156924980071,0.04228076896817641,0.1324069396471097
ancf_12x8,0,12.0,8.0,115,0;15;56;75;114,-0.08926372589342091,0.0,0.06603745699491782,0.07732841472309383,0.05639512644830208,0.06313504319292089,0.04692292338012953,0.08494853670306385,0.06603745699491782,0.07732841472309383,0.05639512644830208,0.07565343653479263,0.059878270178325525,0.09558463266354751,0.05543322866035434,0.02442242190883778,0.1258205615798962,0.05937032489962983,0.027599015789177908,0.12771598471528683,0.05393068934327551,0.02563060379357543,0.11347837438655815,0.07427692351833207,0.033439385177120626,0.16498692598938536
ancf_14x8,0,14.0,8.0,92,0;22;40;54;91,-0.10279010665463331,0.0,0.04725993958340253,0.04306624782405088,0.0518620033617029,0.042938971047410075,0.03523004286516424,0.05233474286894613,0.04725993958340253,0.04306624782405088,0.0518620033617029,0.07151196193270849,0.05600701308715124,0.0913092917757894,0.04630786795377475,0.019109439121103196,0.11221776949256898,0.06205254331083833,0.03344759945175083,0.11512091134964574,0.043125489438205634,0.019435669415394038,0.09569044417949008,0.0668240395651644,0.035448149813341,0.1259713775562434
ancf_9x5,0,9.0,5.0,83,0;11;48;54;82,-0.1154830480663562,1.0,0.03204100576435551,0.03554574549171779,0.028881826395529338,0.06221269503256986,0.07335823261841709,0.05276053259554466,0.04465099583376711,0.03739002620525346,0.05332201207890468,0.04465099583376711,0.03739002620525346,0.05332201207890468,0.04307371387890812,0.020554865218536694,0.09026305001741697,0.05494279820456065,0.0329634564944232,0.09157750416913293,0.050773698084513645,0.028793585810981858,0.08953273253635916,0.06525663078599149,0.03725588384228043,0.11430215639405845
ancf_9x7,0,9.0,7.0,114,0;15;57;75;113,-0.27021166309133915,0.8,0.0392697412583566,0.04699168006705763,0.032816715135480644,0.04575784384403047,0.044750005849118195,0.046788379878970124,0.06650586362786869,0.0689826946785171,0.06411796346172755,0.08718044313678615,0.09278364986736846,0.08191561418839416,0.03927731557822651,0.021893268511553647,0.07046492478806751,0.04487236306257849,0.0331659249049495,0.060710773861740557,0.031003095749867805,0.020999059811695916,0.04577309435254395,0.05376675576295401,0.03509652415876286,0.08236895517618831
ancf_10x7,1,10.0,7.0,111,0;14;54;73;110,-0.262954303024073,0.0,0.07409744168081014,0.10372792977832762,0.05293107531765474,0.06229910452595498,0.06833138037611435,0.056799356362666927,0.07409744168081014,0.10372792977832762,0.05293107531765474,0.07381486614730205,0.08161134989938314,0.06676319496076982,0.0440434461162276,0.021549361729507225,0.0900177541285072,0.05977460283685624,0.04336521668029433,0.08239329623660145,0.046683633394770274,0.0254782767964909,0.08553803086233336,0.08199132580142149,0.041641776499253,0.16143829759029227
ancf_125x6,1,12.5,6.0,101,0;13;50;67;100,-0.06824253351291665,0.0,0.042869384201794536,0.07269089434057584,0.025282177616780612,0.051151931606616984,0.03393839822836969,0.07709615785287201,0.042869384201794536,0.07269089434057584,0.025282177616780612,0.05452023079389127,0.045085158596644546,0.06592980169843284,0.05416199700067286,0.022103122640790406,0.13271979560422842,0.07229259775878938,0.03404439273222826,0.15351190816708848,0.06441854020827059,0.025268561448714984,0.16422574474557622,0.07721445080666929,0.030881698644249233,0.19306164087854683
ancf_12x10,1,12.0,10.0,141,0;10;26;84;102,-0.23289436461897522,0.0,0.0460378936320035,0.040403949976276186,0.05245743674358965,0.0472386731914404,0.04400979276402438,0.050704447913506964,0.0460378936320035,0.040403949976276186,0.05245743674358965,0.11417643368092634,0.07985309117662219,0.1632530164581965,0.03019668603174545,0.019349094659842605,0.047125711219567115,0.033975080218526334,0.028022662767337666,0.04119187692615429,0.03274698711988014,0.018629744211108454,0.05756199082916935,0.059413798465201895,0.04256062515201046,0.08294049806495568
ancf_12x65,1,12.0,65.0,104,0;13;50;68;103,-0.05299225803449899,0.0,0.03877986669705161,0.06198252244279298,0.024262937385762295,0.05040903302309259,0.03667573204431736,0.06928479593134557,0.03877986669705161,0.06198252244279298,0.024262937385762295,0.06335422968777493,0.052585310062916564,0.07632851103338584,0.1249363843332857,0.06714200575819802,0.23247890726542092,0.12305631057842982,0.09543673318597914,0.15866904773098053,0.11249045905209823,0.06080448088420256,0.20811136274398187,0.2480537890323102,0.24100761961148878,0.2553059623279757
ancf_14x6,1,14.0,6.0,94,0;12;47;63;93,-0.03961855622395333,0.6000000000000001,0.043066460479876,0.0312726079950207,0.059308133768697334,0.03833206740291065,0.035981360456740226,0.040836348952059676,0.0269812972705952,0.017223953406787375,0.042266161850934396,0.03744439553660988,0.030047754282420677,0.04666181518671341,0.07495287012064297,0.02923149260498864,0.19218767974794482,0.07638177160303758,0.028030986854212576,0.20813305873110285,0.07940331085786778,0.0339071030729961,0.18594586985558337,0.13696102799262425,0.06276320418602602,0.2988745305800189
ancf_15x10,1,15.0,10.0,114,0;13;54;75;76,-0.14248601574607342,0.0,0.058211505533241135,0.07184531134345155,0.04716493412141668,0.06923455936007542,0.05712689904546713,0.08390835648139652,0.058211505533241135,0.07184531134345155,0.04716493412141668,0.10665340751506798,0.08583094490737302,0.13252736931710082,0.03457773200596957,0.018083695078829603,0.06611588756970097,0.07521226795687777,0.04567136441054029,0.1238606580781645,0.048045751095248855,0.03336162094207337,0.06919310672328331,0.0979015832454557,0.07570589483989644,0.12660467222845395
ancf_15x8,1,15.0,8.0,88,0;21;38;52;87,-0.09163384261786067,0.0,0.04319994616882408,0.06457803786339575,0.028898916887766298,0.044136970402591305,0.05361130182688304,0.036336967951454836,0.04319994616882408,0.06457803786339575,0.028898916887766298,0.06055371768552035,0.04952733939428439,0.07403492233545769,0.04983897744021324,0.019992278975775903,0.12424414821820898,0.08849851568814303,0.04678237887998095,0.16741318989137494,0.05596612036526433,0.021622123750776753,0.14486119239913856,0.10274516821657213,0.056971286221610386,0.1852963184083314
ancf_16x8,1,16.0,8.0,95,0;23;41;56;94,-0.09079605409241359,0.0,0.037695693385408804,0.0671177365396697,0.021171233910233202,0.04244272897015613,0.03845321798939838,0.0468461506376599,0.037695693385408804,0.0671177365396697,0.021171233910233202,0.060678604788516124,0.05040042447835247,0.07305281884406242,0.05165383572411786,0.025138113735496317,0.10613838305801888,0.11924779009822033,0.06855769365034364,0.2074170627126681,0.10954522194363413,0.06415575923307297,0.18704720814049464,0.12257150950107436,0.0838159561940412,0.17924719377525947
ancf_9x4,1,9.0,4.0,66,0;9;33;41;65,-0.07226118718134106,1.0,0.041556055774951195,0.02836325667979282,0.06088531338508723,0.03226015382021945,0.046220524125669286,0.02251635056484011,0.03127347576003213,0.023980672983365075,0.040784105049585455,0.03127347576003213,0.023980672983365075,0.040784105049585455,0.06146767133530179,0.03270983583757583,0.11550882242717775,0.08568505100375592,0.05109271128193141,0.1436981475694886,0.10370085068340697,0.06457148690233766,0.16654202881725724,0.07034882866755236,0.03384654916205562,0.14621749683258015
ancf_10x8,2,10.0,8.0,122,0;16;61;82;121,-0.2818388545926227,0.0,0.024224553298071945,0.025654167192922895,0.0228746066117872,0.04242503121060796,0.046553866348245834,0.03866238004287434,0.024224553298071945,0.025654167192922895,0.0228746066117872,0.10929532123174547,0.09887338032921997,0.12081580707947333,0.03347809434969733,0.014395765368943835,0.07785503393276434,0.04072544635916755,0.027643391325903096,0.059998498794874226,0.037471247128941516,0.02730832098043098,0.05141635629683625,0.0822162674455176,0.04832901898943896,0.1398645115091203
ancf_11x6,2,11.0,6.0,107,0;14;53;70;106,-0.1703049853582594,0.0,0.05176150529308792,0.07866170699106864,0.03406045371619733,0.05429838462371057,0.059238508711499174,0.0497702362343921,0.05176150529308792,0.07866170699106864,0.03406045371619733,0.07372991282388801,0.06437061979747294,0.08445001869053832,0.04388166134712645,0.020045706445198652,0.09606048097372548,0.06887722131877028,0.04457415527551424,0.10643099319037251,0.05065866050930812,0.030525696715371683,0.08407014943921114,0.0958613461221855,0.056243717891190544,0.16338531706128168
