atlas_joint_error,atlas_probe_loss,atlas_vs_generic_hybrid_cubic_ratio,catastrophic,cell,development_target_cell,discharge_order,eta,event_index,event_rank_fraction,fallback_certification_loss,generic_hybrid_cubic_joint_error,last_probe_after_event,local_joint_error,local_relaxation_error,local_tail_error,local_temperature_coordinate,local_temperature_kind,local_voltage_coordinate,local_voltage_kind,q_off_Ah,raw_points,relaxation_points,relaxation_safe_vs_local_ratio,rest_duration_s,safe_joint_error,safe_relaxation_error,safe_tail_error,safe_vs_local_ratio,scored_points,selected_lambda,source_cycle_index,tail_points,tail_safe_vs_local_ratio
0.05840244403932967,6.20998048391935e-06,0.15334953682850488,False,B0005,B0005,0,-0.19999999999999885,179,0.9132653061224489,0.00039597258331009675,0.3808452587935937,True,0.15456149173206002,0.5124237775091222,0.5124237775091222,charge,poly3,hybrid,pchip,1.8564874208181583,197,16,0.3803335554235351,343.297,0.05840244403932967,0.19489195718360292,0.19489195718360292,0.37785895687764964,192,1.0,1,16,0.3803335554235351
0.06951381225622218,5.327670865550392e-06,0.1838116865372676,False,B0005,B0005,6,-0.2499999999999989,177,0.9123711340206185,0.00058317669239441,0.37817950297805647,True,0.19418244492889658,0.6494458201498268,0.6494458201498268,rank,poly3,hybrid,pchip,1.8351461429226608,195,16,0.3527388599572926,342.40599999999995,0.06951381225622218,0.22908477820367878,0.22908477820367878,0.3579819601183615,190,1.0,13,16,0.3527388599572926
0.03629746759432858,2.2450991336330557e-05,0.11499927149662693,False,B0005,B0005,12,-0.19999999999999885,175,0.9459459459459459,0.0003635052639317756,0.31563215246448956,False,0.06072877251118643,0.1850852519971077,0.18472033886680844,rank,poly3,rank,pchip,1.8137555388569615,186,10,0.7803174575784462,199.46799999999985,0.03629746759432858,0.1444252532736491,0.12000257254419906,0.5976980283545575,181,1.0,26,15,0.6496446102273894
0.03237775044153555,3.131191229242349e-05,0.12179289640591295,False,B0005,B0005,17,-0.2499999999999989,174,0.9613259668508287,0.0007197937954213489,0.2658426837442683,False,0.05353631740815571,0.10005470379676995,0.1669992575427695,rank,poly3,rank,pchip,1.803068314283409,182,7,0.9974978221329946,139.32799999999997,0.031985969859125545,0.0998043491314399,0.10579973650024412,0.5974630196408095,177,0.75,36,14,0.6335341728878535
0.03761055902223531,3.0010629626801887e-05,0.11271170946457394,False,B0005,B0005,23,-0.19999999999999885,176,0.9411764705882353,0.00046089625430626184,0.33368812522585833,False,0.06809656749559906,0.22494577309450267,0.2101450219639887,rank,poly3,rank,pchip,1.825131689076493,188,11,0.6456338861754343,220.42200000000003,0.03761055902223531,0.1452326136617412,0.12479741644747164,0.5523121121290879,183,1.0,57,15,0.5938633010724252
0.029507777209699836,4.4737640337068155e-05,0.11128332788656771,False,B0005,B0005,29,-0.2499999999999989,174,0.9613259668508287,0.000773097815885564,0.26515901141793163,False,0.05192503853670799,0.10337739740327583,0.1601788663294302,rank,poly3,rank,pchip,1.804077040117352,182,7,0.8880624027406248,139.48500000000013,0.030149722296074953,0.09180557992702555,0.09759287078876844,0.5806393821886304,177,0.75,81,14,0.6092743257906138
0.02256573130745156,8.310074483942663e-05,0.08693229211588117,False,B0005,B0005,35,-0.29999999999999893,345,0.9610027855153204,0.000799729793389128,0.25957823908946664,False,0.044600312682152775,0.11527494807000502,0.13648871360303066,charge,poly3,time,pchip,1.799381622206411,360,14,0.6948658671022514,135.09400000000005,0.025386746487029325,0.08010062674583104,0.07608752842168351,0.5692055718969895,355,0.75,105,29,0.5574638841053157
0.022685502853832838,6.735730310978227e-05,0.08326554726623525,False,B0005,B0005,40,-0.29999999999999893,339,0.9576271186440678,0.0008721186279584987,0.2724476521039088,False,0.04995444073208834,0.16510505017574764,0.156356102179737,time,poly3,rank,pchip,1.767872110666206,355,15,0.5766725081584646,145.07799999999997,0.025984493192586628,0.09521154339447754,0.07965108039452237,0.5201638295170711,350,0.75,125,28,0.509420990189181
0.01890490699539785,5.5293025413194356e-05,0.06771606830867354,False,B0005,B0005,46,-0.2499999999999989,333,0.9568965517241379,0.0007669477924853844,0.2791790407739367,False,0.05462233232687564,0.19777921267547355,0.17276941576592506,rank,poly3,time,pchip,1.7360913511847156,349,15,0.4315554318257916,144.79700000000003,0.023608712693671218,0.08535269353232906,0.07022730779293374,0.4322172211979147,344,0.75,147,28,0.40647997495158816
0.019921061307211958,6.507102283672759e-05,0.07486782048735006,False,B0005,B0005,52,-0.2499999999999989,334,0.9597701149425287,0.0007979876827035406,0.26608309387846935,False,0.05149893052917254,0.16572718985045057,0.16075800575900195,rank,poly3,time,pchip,1.7417176730820345,349,14,0.4152227478800645,135.29700000000003,0.02279042280457707,0.06881369916814523,0.06581326563445804,0.442541671650191,344,0.75,169,28,0.4093933942743794
