cell,discharge_order,source_cycle_index,raw_points,scored_points,tail_points,local_voltage_kind,local_temperature_kind,selected_lambda,probe_certification_error,safe_joint_error,local_joint_error,flow_joint_error,safe_vs_local_ratio,safe_tail_error,local_tail_error,tail_safe_vs_local_ratio,catastrophic,development_target_cell,clock_regularization,blend_penalty,transport_alpha,transport_beta,transport_tau,transport_temperature_lag,transport_C_probe_Ah,transport_probe_data_loss,transport_regularized_objective
B0005,0,1,197,192,16,pchip,poly3,0.25,0.012199442656621883,0.06181164051123698,0.06630240899466355,0.0721200991581277,0.9322683964049026,0.18417349484825468,0.1896699296702356,0.9710210530918784,False,B0005,0.1,0.03,0.0,1.0,0.0,0.0,1.9793429574276311,0.0005811983702105452,0.0005811983702105452
B0005,6,13,195,190,16,pchip,poly3,0.25,0.017705861264380195,0.07107514206895242,0.07597762657044274,0.08669697945258326,0.9354746295352491,0.21304368878950522,0.22021157494542284,0.9674500027635055,False,B0005,0.1,0.03,0.0,1.0,0.0,0.0,1.9583599878333775,0.001012720911568904,0.001012720911568904
B0005,12,26,186,181,15,pchip,poly3,0.25,0.007449327521885403,0.04931976693062026,0.05174219011133058,0.058516279591528025,0.9531828247799691,0.15498512147590116,0.14768245002287053,1.0494484717168473,False,B0005,0.1,0.03,0.0,1.0,0.0,0.0,1.8556724027713374,5.833784564277634e-05,5.833784564277634e-05
B0005,17,36,182,177,14,pchip,poly3,0.25,0.004182686700987022,0.045857693290543525,0.05173319520564495,0.03996811797623895,0.8864268504633113,0.14723985392414068,0.15902941991691613,0.9258655033833688,False,B0005,0.1,0.03,0.0,1.0,0.0,0.0,1.8147499164936298,5.348239004558895e-06,5.348239004558895e-06
B0005,23,57,188,183,15,pchip,poly3,0.25,0.009798387864575882,0.05125509035521553,0.054904252100436535,0.06235567968081313,0.9335358992133144,0.1612226748393909,0.1558330461336971,1.0345859163984368,False,B0005,0.1,0.03,0.0,1.0,0.0,0.0,1.8968459276660201,0.0002892085157164421,0.0002892085157164421
B0005,29,81,182,177,14,pchip,poly3,0.25,0.004104116289338318,0.043846766016710205,0.049996850937880775,0.04104603692927963,0.8769905542888726,0.13868859958775162,0.1515034191160462,0.9154156414220667,False,B0005,0.1,0.03,0.0,1.0,0.0,0.0,1.8147153042959618,1.2331750242363415e-05,1.2331750242363415e-05
B0005,35,105,360,355,29,pchip,poly3,0.25,0.003725293430372647,0.03903506319353596,0.04225581126257925,0.041188670610621064,0.9237797601605745,0.12566236725334734,0.12680526570088782,0.9909869795925006,False,B0005,0.1,0.03,0.0,1.0,0.0,0.0,1.8695254302598219,4.5967599149056454e-05,4.5967599149056454e-05
B0005,40,125,355,350,28,pchip,poly3,0.25,0.005208151743382422,0.042700630015703754,0.045074418088208286,0.04812225750567485,0.9473362458532654,0.13930457018847264,0.13635198207069477,1.0216541635327827,False,B0005,0.1,0.03,0.0,1.0,0.0,0.0,1.8386292736948886,8.877085332571809e-05,8.877085332571809e-05
B0005,46,147,349,344,28,pchip,poly3,0.25,0.005200006222093593,0.047021560886819865,0.048761164983158044,0.05411097335804301,0.9643239841185289,0.1543050657644418,0.14945209439722845,1.0324717521476456,False,B0005,0.1,0.03,0.0,1.0,0.0,0.0,1.8068124165290127,0.0001257743105657524,0.0001257743105657524
B0005,52,169,349,344,28,pchip,poly3,0.25,0.005023072063856105,0.04481593959599169,0.04722004705134245,0.05022820665246781,0.9490871440103232,0.1458670583213979,0.1434971380029656,1.0165154535582677,False,B0005,0.1,0.03,0.0,1.0,0.0,0.0,1.8068346270617417,9.468739158923143e-05,9.468739158923143e-05
B0005,58,193,345,340,28,pchip,poly3,0.25,0.008829630711515475,0.06074153017172478,0.06187396008718524,0.0721568312913483,0.9816977947772412,0.20085482534459465,0.19449197217245365,1.0327152483522515,False,B0005,0.1,0.03,0.0,1.0,0.0,0.0,1.7861371881171395,0.00047827143881975137,0.00047827143881975137
B0005,63,213,341,336,27,pchip,poly3,0.25,0.016117851580771843,0.08658170017497255,0.0875708520580187,0.09766667624232102,0.988704553401047,0.29251046024873206,0.2877421162247546,1.016571588777268,False,B0005,0.1,0.03,0.0,1.0,0.15,0.0,1.7647761871289835,0.0004182577957073284,0.0012057577957073284
B0005,69,235,337,332,27,pchip,poly3,0.25,0.027188364599661785,0.11711579547352287,0.11927915676143953,0.13075197086351673,0.9818630400595183,0.39571717408835066,0.39521600109059934,1.0012680989544156,False,B0005,0.1,0.03,0.0,1.0,0.15,0.0,1.7442137504730384,0.0012971313773313612,0.0020846313773313615
B0005,75,259,333,328,27,pchip,poly3,0.25,0.008873574386547567,0.08494132036541784,0.08764722901054592,0.08862793406480421,0.9691272767470778,0.2740292917692152,0.2815924400007389,0.9731415082325937,False,B0005,0.1,0.03,0.0,1.0,0.0,0.0,1.7234933968382384,0.0008141924353080917,0.0008141924353080917
B0005,81,281,330,325,26,poly3,poly3,0.0,0.001354179845146518,0.07721431035251058,0.07721431035251058,0.07733141784823627,1.0,0.1851289978683262,0.1851289978683262,1.0,False,B0005,0.1,0.03,0.0,1.0,0.0,0.0,1.6986198541400042,0.00027882907438257223,0.00027882907438257223
B0005,86,301,326,321,26,poly3,poly3,0.0,0.0002761661724103391,0.08241997213995032,0.08241997213995032,0.0826262821188846,1.0,0.1596752108923272,0.1596752108923272,1.0,False,B0005,0.1,0.03,0.0,1.0,0.0,0.0,1.679450274128301,0.0005092484932386067,0.0005092484932386067
B0005,92,323,327,322,26,poly3,poly3,0.0,0.00011507124816290725,0.07809096566070198,0.07809096566070198,0.07855342059947809,1.0,0.15390171003277053,0.15390171003277053,1.0,False,B0005,0.1,0.03,0.0,1.0,0.0,0.0,1.678371926586891,0.000506084601602186,0.000506084601602186
B0005,98,347,322,317,26,pchip,poly3,0.0,0.001663751437333489,0.0871361638450817,0.0871361638450817,0.0880902831339768,1.0,0.13083836733297274,0.13083836733297274,1.0,False,B0005,0.1,0.03,0.0,1.0,0.0,0.0,1.6586094784696053,0.001280695387540443,0.001280695387540443
B0005,104,370,320,315,26,pchip,poly3,0.0,0.0012281526431620407,0.08821882935339091,0.08821882935339091,0.08895170714180255,1.0,0.1353579437397681,0.1353579437397681,1.0,False,B0005,0.1,0.03,0.0,1.0,0.0,0.0,1.640059008687252,0.0010537997957764448,0.0010537997957764448
B0005,109,390,317,312,25,pchip,pchip,0.0,0.005161739692678008,0.09563633247462301,0.09563633247462301,0.09813845360261021,1.0,0.11242844538101061,0.11242844538101061,1.0,False,B0005,0.1,0.03,0.0,1.0,0.0,0.0,1.6203792652086797,0.0022242082089903798,0.0022242082089903798
B0005,115,414,313,308,25,pchip,pchip,0.0,0.008827278979433632,0.09875837834752604,0.09875837834752604,0.10278072021973549,1.0,0.10481616538132657,0.10481616538132657,1.0,False,B0005,0.1,0.03,0.0,1.0,0.0,0.0,1.6009239676139588,0.0032902184746587326,0.0032902184746587326
B0005,121,436,313,308,25,pchip,pchip,0.0,0.00784903452441037,0.09607711841189275,0.09607711841189275,0.099713426663663,1.0,0.10372797149676065,0.10372797149676065,1.0,False,B0005,0.1,0.03,0.0,1.0,0.0,0.0,1.6019190665577392,0.0030882203810300873,0.0030882203810300873
B0005,127,460,309,304,25,pchip,pchip,0.0,0.01419493869102193,0.10296229265383848,0.10296229265383848,0.10851488898225277,1.0,0.09760130259055656,0.09760130259055656,1.0,False,B0005,0.1,0.03,0.0,1.0,-0.15,0.0,1.581198768604965,0.0038255608631055428,0.004613060863105542
B0005,132,480,308,303,25,pchip,pchip,0.0,0.012940340445333074,0.10107207951946272,0.10107207951946272,0.10637974902760385,1.0,0.09738294915037217,0.09738294915037217,1.0,False,B0005,0.1,0.03,0.0,1.0,-0.15,0.0,1.5814728472811967,0.0034389428654488683,0.004226442865448868
